date_and_time,number_of_taxi_trips,trend,seasonal_24,seasonal_168,resid,temperature,precipitation,wind_speed,precip_log,gamm_pred,ar_resid_pred,gammm_pred
2024-01-20 16:00:00,777,662.4320937203133,475.2687070224259,-287.54065764116655,-73.16014310157266,-10.0,0.0,14.8,0.0,9.572935841408182,-19.829441934493442,-10.25650609308526
2024-01-20 17:00:00,867,663.3679083097682,573.2605492736582,-314.42263302618136,-55.20582455724502,-8.3,0.0,14.8,0.0,12.093113687614377,-61.623702135325736,-49.53058844771136
2024-01-20 18:00:00,1007,664.2834632586837,511.49088731344364,-156.92505316270754,-11.849297409419933,-8.3,0.0,14.8,0.0,12.093113687614377,-49.166587845590676,-37.0734741579763
2024-01-20 19:00:00,867,665.1787073079687,356.52459566036526,-123.48967952831248,-31.21362344002148,-7.8,0.0,18.4,0.0,13.446718946608925,-16.90022824545396,-3.4535092988450344
2024-01-20 20:00:00,631,666.0536561640866,101.31251850133359,-116.53795679748427,-19.82821786793602,-7.8,0.0,18.4,0.0,13.446718946608925,-33.11103979672208,-19.664320850113157
2024-01-20 21:00:00,550,666.9084078627318,-84.73597325982855,-25.30482744533354,-6.867607157569751,-8.3,0.0,16.6,0.0,11.72637877586039,-24.25103885272459,-12.524660076864201
2024-01-20 22:00:00,535,667.7431361028453,-215.62794509904649,69.17386602254362,13.71094297365778,-9.4,0.0,14.8,0.0,10.334954528273045,-13.421523166095273,-3.0865686378222286
2024-01-20 23:00:00,434,668.5580896826232,-314.76243365364945,83.26186304978616,-3.057519078759924,-10.6,0.0,13.0,0.0,10.01519932895934,2.821611703099073,12.836811032058414
2024-01-21 00:00:00,323,669.3535814178773,-438.9612815237525,78.41648049602722,14.191219609847963,-10.6,0.0,13.0,0.0,10.01519932895934,-9.854253031475576,0.16094629748376477
2024-01-21 01:00:00,232,670.1299539894472,-548.5231053935719,96.30164048717286,14.091510916951734,-12.8,0.0,11.2,0.0,9.734313751104757,3.3352209598219784,13.069534710926735
2024-01-21 02:00:00,167,670.8875649184265,-607.0576330294774,74.52992065409677,28.640147456954082,-13.3,0.0,9.4,0.0,9.463968386194807,3.201673688648037,12.665642074842843
